alert_id,user,date,risk_level,ensemble_score,ae_score,if_score,both_flagged,reason_count,reason_summary,high_reasons,device_count,email_external,http_suspicious,sensitive_files
ALERT-AIB0948-20110125,aib0948,2011-01-25,HIGH,0.6725,0.5884,0.7566,True,2,Logged into 3 different machines in one day — possible lateral movement; 72% of session activity occurred outside business hours (baseline: 14%),1,16,0,0,0
ALERT-HRL0540-20100621,hrl0540,2010-06-21,HIGH,0.6715,0.5912,0.7519,True,1,51% of session activity occurred outside business hours (baseline: 28%),0,18,7,0,0
ALERT-DLM0051-20110114,dlm0051,2011-01-14,HIGH,0.662,0.4453,0.8788,True,1,"Visited 26 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,3,26,0
ALERT-DLM0051-20100916,dlm0051,2010-09-16,HIGH,0.6596,0.5013,0.8179,True,1,"Visited 26 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,9,26,0
ALERT-DLM0051-20100908,dlm0051,2010-09-08,HIGH,0.6565,0.465,0.848,True,1,"Visited 31 suspicious URLs (job boards, cloud storage, competitor sites)",0,16,4,31,0
ALERT-JDF0593-20100510,jdf0593,2010-05-10,HIGH,0.6541,0.6653,0.6428,True,1,60% of session activity occurred outside business hours (baseline: 14%),0,16,0,0,0
ALERT-DLM0051-20101103,dlm0051,2010-11-03,HIGH,0.6515,0.5714,0.7315,True,1,47% of session activity occurred outside business hours (baseline: 15%),0,18,4,0,0
ALERT-DLM0051-20100405,dlm0051,2010-04-05,HIGH,0.6496,0.4964,0.8028,True,1,"Visited 33 suspicious URLs (job boards, cloud storage, competitor sites)",0,16,4,33,0
ALERT-LBH0942-20100116,lbh0942,2010-01-16,HIGH,0.6476,0.4952,0.8001,True,1,"Visited 29 suspicious URLs (job boards, cloud storage, competitor sites)",0,16,2,29,0
ALERT-DLM0051-20100126,dlm0051,2010-01-26,HIGH,0.6461,0.3622,0.93,True,2,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Visited 24 suspicious URLs (job boards, cloud storage, competitor sites)",1,18,15,24,1
ALERT-DLM0051-20100214,dlm0051,2010-02-14,HIGH,0.6461,0.4413,0.8509,True,1,"Visited 32 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,11,32,0
ALERT-MPM0220-20100505,mpm0220,2010-05-05,HIGH,0.6436,0.3423,0.9448,True,2,Logged into 5 different machines in one day — possible lateral movement; 42% of session activity occurred outside business hours (baseline: 20%),1,24,6,0,0
ALERT-DLM0051-20100528,dlm0051,2010-05-28,HIGH,0.6429,0.4582,0.8276,True,1,"Visited 32 suspicious URLs (job boards, cloud storage, competitor sites)",0,14,2,32,0
ALERT-BRM0995-20110314,brm0995,2011-03-14,HIGH,0.6408,0.7265,0.5551,True,0,,0,16,6,0,0
ALERT-DLM0051-20110406,dlm0051,2011-04-06,HIGH,0.6386,0.3756,0.9016,True,2,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Visited 24 suspicious URLs (job boards, cloud storage, competitor sites)",1,18,9,24,1
ALERT-DLM0051-20100603,dlm0051,2010-06-03,HIGH,0.6384,0.3942,0.8825,True,1,"Visited 23 suspicious URLs (job boards, cloud storage, competitor sites)",0,16,7,23,0
ALERT-MCF0600-20100929,mcf0600,2010-09-29,HIGH,0.6382,0.4545,0.822,True,3,USB/device activity (18 events) is 10.0x above this user's normal (1.8 avg); 83% of session activity occurred outside business hours (baseline: 27%); Login at hour 3:00 deviates 3.7 hours from personal baseline (6.7h avg),1,18,1,0,0
ALERT-GTD0219-20100223,gtd0219,2010-02-23,HIGH,0.6328,0.3228,0.9427,True,2,Logged into 7 different machines in one day — possible lateral movement; 77% of session activity occurred outside business hours (baseline: 17%),1,10,8,0,0
ALERT-DLM0051-20100616,dlm0051,2010-06-16,HIGH,0.6312,0.4699,0.7924,True,1,"Visited 38 suspicious URLs (job boards, cloud storage, competitor sites)",0,16,5,38,0
ALERT-FTM0406-20101201,ftm0406,2010-12-01,HIGH,0.63,0.5427,0.7174,True,2,USB/device activity (16 events) is 26.7x above this user's normal (0.6 avg); Login at hour 0:00 deviates 7.2 hours from personal baseline (7.2h avg),1,16,0,2,0
ALERT-DLM0051-20100609,dlm0051,2010-06-09,HIGH,0.6297,0.3913,0.8681,True,1,"Visited 28 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,10,28,0
ALERT-DLM0051-20100118,dlm0051,2010-01-18,HIGH,0.6274,0.4246,0.8301,True,1,"Visited 11 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,14,11,0
ALERT-AVM0947-20100201,avm0947,2010-02-01,HIGH,0.6227,0.4696,0.7758,True,1,79% of session activity occurred outside business hours (baseline: 10%),0,18,0,0,0
ALERT-DLM0051-20101126,dlm0051,2010-11-26,HIGH,0.6183,0.4206,0.816,True,1,"Visited 34 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,5,34,0
ALERT-IBB0359-20101103,ibb0359,2010-11-03,HIGH,0.6171,0.3644,0.8698,True,3,"Logged into 6 different machines in one day — possible lateral movement; Visited 3 suspicious URLs (job boards, cloud storage, competitor sites); 43% of session activity occurred outside business hours (baseline: 11%)",1,22,3,3,0
ALERT-MPM0220-20100405,mpm0220,2010-04-05,HIGH,0.6157,0.2644,0.967,True,2,Logged into 6 different machines in one day — possible lateral movement; 45% of session activity occurred outside business hours (baseline: 19%),1,24,6,0,0
ALERT-LBH0942-20110420,lbh0942,2011-04-20,HIGH,0.6151,0.4655,0.7647,True,2,"Accessed 2 sensitive file(s) in HR, finance, or executive directories; Visited 30 suspicious URLs (job boards, cloud storage, competitor sites)",1,18,0,30,2
ALERT-BAL0044-20110225,bal0044,2011-02-25,HIGH,0.6126,0.2501,0.9752,True,4,"Logged into 6 different machines in one day — possible lateral movement; Visited 4 suspicious URLs (job boards, cloud storage, competitor sites); 63% of session activity occurred outside business hours (baseline: 22%)",1,12,2,4,0
ALERT-DLM0051-20100721,dlm0051,2010-07-21,HIGH,0.6102,0.4124,0.808,True,0,,0,18,16,0,0
ALERT-DLM0051-20100212,dlm0051,2010-02-12,HIGH,0.6067,0.3422,0.8711,True,1,"Visited 26 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,15,26,0
ALERT-THR0873-20110203,thr0873,2011-02-03,HIGH,0.6051,0.4227,0.7874,True,0,,0,18,4,0,0
ALERT-PPF0435-20110127,ppf0435,2011-01-27,HIGH,0.6001,0.7006,0.4996,True,0,,0,16,8,0,0
ALERT-KLH0596-20110207,klh0596,2011-02-07,MEDIUM,0.5974,0.4273,0.7674,True,2,USB/device activity (18 events) is 30.0x above this user's normal (0.6 avg); 83% of session activity occurred outside business hours (baseline: 19%),1,18,1,0,0
ALERT-CCA0046-20101015,cca0046,2010-10-15,MEDIUM,0.5972,0.2653,0.9292,True,2,Logged into 7 different machines in one day — possible lateral movement; 59% of session activity occurred outside business hours (baseline: 19%),1,10,2,0,0
ALERT-DLM0051-20100524,dlm0051,2010-05-24,MEDIUM,0.5967,0.2958,0.8977,True,2,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Visited 26 suspicious URLs (job boards, cloud storage, competitor sites)",1,18,7,26,1
ALERT-IBB0359-20101117,ibb0359,2010-11-17,MEDIUM,0.5956,0.3176,0.8737,True,1,Logged into 5 different machines in one day — possible lateral movement,1,24,4,0,0
ALERT-MBJ0312-20100302,mbj0312,2010-03-02,MEDIUM,0.5951,0.6803,0.5098,True,1,57% of session activity occurred outside business hours (baseline: 6%),0,6,10,0,0
ALERT-BRM0995-20100810,brm0995,2010-08-10,MEDIUM,0.5893,0.5163,0.6622,True,1,40% of session activity occurred outside business hours (baseline: 29%),0,18,6,0,0
ALERT-DLM0051-20100124,dlm0051,2010-01-24,MEDIUM,0.5887,0.3182,0.8591,True,2,"Accessed 2 sensitive file(s) in HR, finance, or executive directories; Visited 18 suspicious URLs (job boards, cloud storage, competitor sites)",1,18,12,18,2
ALERT-AJR0932-20100916,ajr0932,2010-09-16,MEDIUM,0.5884,0.3529,0.824,True,3,USB/device activity (18 events) is 30.0x above this user's normal (0.6 avg); 47% of session activity occurred outside business hours (baseline: 13%); Login at hour 2:00 deviates 4.9 hours from personal baseline (6.9h avg),1,18,1,0,0
ALERT-DLM0051-20100414,dlm0051,2010-04-14,MEDIUM,0.5865,0.359,0.8141,True,1,"Visited 21 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,2,21,0
ALERT-KLH0596-20110201,klh0596,2011-02-01,MEDIUM,0.5864,0.4125,0.7603,True,1,81% of session activity occurred outside business hours (baseline: 16%),0,18,0,0,0
ALERT-DLM0051-20100318,dlm0051,2010-03-18,MEDIUM,0.5852,0.3084,0.862,True,1,"Visited 12 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,1,12,0
ALERT-DLM0051-20100420,dlm0051,2010-04-20,MEDIUM,0.5846,0.3181,0.8511,True,1,"Visited 26 suspicious URLs (job boards, cloud storage, competitor sites)",0,16,12,26,0
ALERT-DLM0051-20101011,dlm0051,2010-10-11,MEDIUM,0.5846,0.3481,0.8212,True,1,"Visited 23 suspicious URLs (job boards, cloud storage, competitor sites)",0,13,2,23,0
ALERT-DLM0051-20100426,dlm0051,2010-04-26,MEDIUM,0.5834,0.3114,0.8554,True,1,"Visited 3 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,11,3,0
ALERT-DCH0843-20110202,dch0843,2011-02-02,MEDIUM,0.5821,0.4014,0.7628,True,3,USB/device activity (12 events) is 16.4x above this user's normal (0.7 avg); 70% of session activity occurred outside business hours (baseline: 30%); Login at hour 0:00 deviates 7.9 hours from personal baseline (7.9h avg),1,12,1,0,0
ALERT-DLM0051-20100607,dlm0051,2010-06-07,MEDIUM,0.5754,0.3236,0.8273,True,1,"Visited 28 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,0,28,0
ALERT-WIF0691-20100329,wif0691,2010-03-29,MEDIUM,0.5729,0.4315,0.7144,True,0,,0,18,6,0,0
ALERT-BDV0168-20100803,bdv0168,2010-08-03,MEDIUM,0.5679,0.2406,0.8952,True,3,"USB/device activity (16 events) is 40.0x above this user's normal (0.4 avg); Accessed 1 sensitive file(s) in HR, finance, or executive directories; Visited 7 suspicious URLs (job boards, cloud storage, competitor sites)",2,16,2,7,1
ALERT-DLM0051-20100407,dlm0051,2010-04-07,MEDIUM,0.5675,0.3638,0.7712,True,1,"Visited 3 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,12,3,0
ALERT-DLM0051-20110203,dlm0051,2011-02-03,MEDIUM,0.5671,0.2764,0.8578,True,1,"Visited 24 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,14,24,0
ALERT-DCH0843-20110129,dch0843,2011-01-29,MEDIUM,0.566,0.4274,0.7046,True,2,USB/device activity (10 events) is 25.0x above this user's normal (0.4 avg); 100% of session activity occurred outside business hours (baseline: 28%),1,10,0,0,0
ALERT-DLM0051-20100301,dlm0051,2010-03-01,MEDIUM,0.5654,0.271,0.8597,True,1,"Visited 18 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,8,18,0
ALERT-BSS0369-20100930,bss0369,2010-09-30,MEDIUM,0.5649,0.1645,0.9653,True,3,"Logged into 6 different machines in one day — possible lateral movement; Visited 14 suspicious URLs (job boards, cloud storage, competitor sites); Login at hour 0:00 deviates 4.4 hours from personal baseline (4.4h avg)",1,28,3,14,0
ALERT-RKD0604-20100715,rkd0604,2010-07-15,MEDIUM,0.563,0.3252,0.8008,True,2,USB/device activity (18 events) is 27.0x above this user's normal (0.7 avg); 44% of session activity occurred outside business hours (baseline: 7%),1,18,7,0,0
ALERT-MAR0955-20110205,mar0955,2011-02-05,MEDIUM,0.5621,0.385,0.7392,True,2,100% of session activity occurred outside business hours (baseline: 20%); Login at hour 3:00 deviates 4.0 hours from personal baseline (7.0h avg),0,10,0,0,0
ALERT-LBH0942-20100802,lbh0942,2010-08-02,MEDIUM,0.5617,0.3705,0.7528,True,1,78% of session activity occurred outside business hours (baseline: 12%),0,18,8,0,0
ALERT-MPM0220-20100211,mpm0220,2010-02-11,MEDIUM,0.5609,0.153,0.9688,True,2,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Logged into 5 different machines in one day — possible lateral movement",2,26,0,0,1
ALERT-AJR0932-20100910,ajr0932,2010-09-10,MEDIUM,0.5608,0.2578,0.8637,True,3,54% of session activity occurred outside business hours (baseline: 13%); Login at hour 4:00 deviates 3.0 hours from personal baseline (7.0h avg); Logon count (6) is 3.0x above personal normal (2.0 avg),0,18,7,1,0
ALERT-MSO0222-20101209,mso0222,2010-12-09,MEDIUM,0.5605,0.2591,0.8619,True,3,"Logged into 6 different machines in one day — possible lateral movement; Visited 9 suspicious URLs (job boards, cloud storage, competitor sites); Login at hour 0:00 deviates 4.4 hours from personal baseline (4.4h avg)",1,4,5,9,0
ALERT-MPM0220-20100928,mpm0220,2010-09-28,MEDIUM,0.5588,0.1433,0.9743,True,1,Logged into 6 different machines in one day — possible lateral movement,1,28,9,0,0
ALERT-MPM0220-20100305,mpm0220,2010-03-05,MEDIUM,0.555,0.1516,0.9584,True,2,Logged into 6 different machines in one day — possible lateral movement; Login at hour 0:00 deviates 3.3 hours from personal baseline (3.3h avg),1,26,6,0,0
ALERT-MPM0220-20100128,mpm0220,2010-01-28,MEDIUM,0.555,0.1964,0.9136,True,1,Logged into 3 different machines in one day — possible lateral movement,1,21,3,0,0
ALERT-DLM0051-20100608,dlm0051,2010-06-08,MEDIUM,0.5548,0.2431,0.8664,True,1,"Visited 17 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,8,17,0
ALERT-MPM0220-20100317,mpm0220,2010-03-17,MEDIUM,0.5547,0.2887,0.8208,True,1,Logged into 3 different machines in one day — possible lateral movement,1,18,3,0,0
ALERT-DLM0051-20110411,dlm0051,2011-04-11,MEDIUM,0.5536,0.3577,0.7495,True,1,"Visited 25 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,10,25,0
ALERT-LBF0214-20110513,lbf0214,2011-05-13,MEDIUM,0.5534,0.323,0.7837,True,2,USB/device activity (6 events) is 3.3x above this user's normal (1.8 avg); 54% of session activity occurred outside business hours (baseline: 8%),1,6,12,0,0
ALERT-MAR0955-20110215,mar0955,2011-02-15,MEDIUM,0.5525,0.3109,0.7941,True,2,USB/device activity (16 events) is 30.0x above this user's normal (0.5 avg); 85% of session activity occurred outside business hours (baseline: 24%),1,16,0,1,0
ALERT-DLM0051-20100605,dlm0051,2010-06-05,MEDIUM,0.5506,0.2995,0.8017,True,1,"Visited 21 suspicious URLs (job boards, cloud storage, competitor sites)",0,16,8,21,0
ALERT-RKD0604-20100709,rkd0604,2010-07-09,MEDIUM,0.5496,0.2747,0.8244,True,1,49% of session activity occurred outside business hours (baseline: 2%),0,18,5,0,0
ALERT-JRG0207-20110118,jrg0207,2011-01-18,MEDIUM,0.5489,0.44,0.6579,True,0,,0,14,2,0,0
ALERT-DLM0051-20101122,dlm0051,2010-11-22,MEDIUM,0.5488,0.2495,0.848,True,1,"Visited 24 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,14,24,0
ALERT-DLM0051-20101213,dlm0051,2010-12-13,MEDIUM,0.5484,0.2773,0.8195,True,1,"Visited 13 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,13,13,0
ALERT-HRL0540-20110505,hrl0540,2011-05-05,MEDIUM,0.5479,0.4303,0.6655,True,1,59% of session activity occurred outside business hours (baseline: 31%),0,16,4,0,0
ALERT-AJF0370-20100114,ajf0370,2010-01-14,MEDIUM,0.5464,0.1483,0.9446,True,2,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Logged into 6 different machines in one day — possible lateral movement",2,28,6,0,1
ALERT-DLM0051-20101116,dlm0051,2010-11-16,MEDIUM,0.5461,0.2047,0.8875,True,1,"Visited 30 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,10,30,0
ALERT-BAL0044-20110125,bal0044,2011-01-25,MEDIUM,0.5461,0.1722,0.92,True,4,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Logged into 3 different machines in one day — possible lateral movement; Visited 8 suspicious URLs (job boards, cloud storage, competitor sites)",2,8,7,8,1
ALERT-MPM0220-20101105,mpm0220,2010-11-05,MEDIUM,0.5451,0.174,0.9162,True,2,Logged into 4 different machines in one day — possible lateral movement; 40% of session activity occurred outside business hours (baseline: 18%),1,22,7,0,0
ALERT-MOS0047-20100420,mos0047,2010-04-20,MEDIUM,0.5451,0.3754,0.7148,True,3,Logged into 4 different machines in one day — possible lateral movement; 54% of session activity occurred outside business hours (baseline: 19%); Login at hour 7:00 deviates 3.4 hours from personal baseline (3.6h avg),1,10,1,0,0
ALERT-DLM0051-20101003,dlm0051,2010-10-03,MEDIUM,0.5439,0.2627,0.8252,True,2,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Visited 17 suspicious URLs (job boards, cloud storage, competitor sites)",1,16,10,17,1
ALERT-DLM0051-20110511,dlm0051,2011-05-11,MEDIUM,0.5437,0.2956,0.7919,True,1,"Visited 21 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,11,21,0
ALERT-DLM0051-20100114,dlm0051,2010-01-14,MEDIUM,0.5432,0.2218,0.8646,True,1,"Visited 20 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,12,20,0
ALERT-AJF0370-20100805,ajf0370,2010-08-05,MEDIUM,0.5428,0.1774,0.9083,True,2,"Logged into 6 different machines in one day — possible lateral movement; Visited 15 suspicious URLs (job boards, cloud storage, competitor sites)",1,27,7,15,0
ALERT-EIS0041-20110317,eis0041,2011-03-17,MEDIUM,0.5406,0.2075,0.8737,True,2,Logged into 6 different machines in one day — possible lateral movement; Login at hour 0:00 deviates 3.6 hours from personal baseline (3.6h avg),1,12,6,0,0
ALERT-DLM0051-20100623,dlm0051,2010-06-23,MEDIUM,0.54,0.3106,0.7694,True,1,"Visited 30 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,15,30,0
ALERT-EIS0041-20100422,eis0041,2010-04-22,MEDIUM,0.5393,0.1052,0.9734,True,4,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Logged into 6 different machines in one day — possible lateral movement; Visited 8 suspicious URLs (job boards, cloud storage, competitor sites)",2,10,9,8,1
ALERT-DLM0051-20100809,dlm0051,2010-08-09,MEDIUM,0.5372,0.2759,0.7985,True,0,,0,18,15,0,0
ALERT-EIS0041-20100114,eis0041,2010-01-14,MEDIUM,0.5367,0.1823,0.8911,True,2,Logged into 6 different machines in one day — possible lateral movement; Login at hour 0:00 deviates 5.2 hours from personal baseline (5.2h avg),1,10,8,2,0
ALERT-GTD0219-20100224,gtd0219,2010-02-24,MEDIUM,0.5349,0.0771,0.9927,True,3,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Logged into 6 different machines in one day — possible lateral movement; Login at hour 0:00 deviates 3.7 hours from personal baseline (3.7h avg)",2,14,8,0,1
ALERT-DLM0051-20100827,dlm0051,2010-08-27,MEDIUM,0.5324,0.2569,0.8079,True,1,"Visited 19 suspicious URLs (job boards, cloud storage, competitor sites)",0,16,10,19,0
ALERT-IBB0359-20101020,ibb0359,2010-10-20,MEDIUM,0.5324,0.2579,0.807,True,3,"Logged into 4 different machines in one day — possible lateral movement; Visited 9 suspicious URLs (job boards, cloud storage, competitor sites); Login at hour 1:00 deviates 3.1 hours from personal baseline (4.1h avg)",1,22,3,9,0
ALERT-DLM0051-20100303,dlm0051,2010-03-03,MEDIUM,0.5317,0.2167,0.8467,True,1,"Visited 19 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,4,19,0
ALERT-DLM0051-20100419,dlm0051,2010-04-19,MEDIUM,0.5312,0.2545,0.8079,True,1,"Visited 18 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,8,18,0
ALERT-AJF0370-20100914,ajf0370,2010-09-14,MEDIUM,0.5309,0.0698,0.992,True,4,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Logged into 6 different machines in one day — possible lateral movement; Visited 15 suspicious URLs (job boards, cloud storage, competitor sites)",2,26,8,15,1
ALERT-CCA0046-20100702,cca0046,2010-07-02,MEDIUM,0.5305,0.2308,0.8301,True,1,Logged into 6 different machines in one day — possible lateral movement,1,12,3,1,0
ALERT-DLM0051-20100412,dlm0051,2010-04-12,MEDIUM,0.5302,0.2653,0.7951,True,1,"Visited 17 suspicious URLs (job boards, cloud storage, competitor sites)",0,18,8,17,0
ALERT-BAL0044-20110222,bal0044,2011-02-22,MEDIUM,0.5299,0.1653,0.8945,True,2,"Logged into 5 different machines in one day — possible lateral movement; Visited 9 suspicious URLs (job boards, cloud storage, competitor sites)",1,8,3,9,0
ALERT-MPM0220-20100202,mpm0220,2010-02-02,MEDIUM,0.529,0.1574,0.9006,True,1,Logged into 5 different machines in one day — possible lateral movement,1,26,4,0,0
ALERT-AJF0370-20100615,ajf0370,2010-06-15,MEDIUM,0.5285,0.111,0.946,True,3,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Logged into 6 different machines in one day — possible lateral movement; Visited 12 suspicious URLs (job boards, cloud storage, competitor sites)",2,28,1,12,1
ALERT-MPM0220-20100303,mpm0220,2010-03-03,MEDIUM,0.5285,0.1028,0.9541,True,2,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Logged into 5 different machines in one day — possible lateral movement",2,24,4,0,1
ALERT-DLM0051-20100122,dlm0051,2010-01-22,MEDIUM,0.5282,0.3397,0.7168,True,0,,0,16,13,2,0
ALERT-HDS0367-20110126,hds0367,2011-01-26,MEDIUM,0.5282,0.0596,0.9969,True,4,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Logged into 6 different machines in one day — possible lateral movement; Visited 23 suspicious URLs (job boards, cloud storage, competitor sites)",2,14,0,23,1
ALERT-MPM0220-20100913,mpm0220,2010-09-13,MEDIUM,0.5281,0.1601,0.8961,True,1,Logged into 6 different machines in one day — possible lateral movement,1,28,3,0,0
ALERT-MPM0220-20100813,mpm0220,2010-08-13,MEDIUM,0.5276,0.1165,0.9388,True,2,"Accessed 1 sensitive file(s) in HR, finance, or executive directories; Logged into 6 different machines in one day — possible lateral movement",2,26,1,0,1
